ID,ENG 1,ENG 2,PoS,ARA 1,ARA 2,CMN 1,CMN 2,CYM 1,CYM 2,EST 1,EST 2,FIN 1,FIN 2,FRA 1,FRA 2,HEB 1,HEB 2,POL 1,POL 2,RUS 1,RUS 2,SPA 1,SPA 2,SWA 1,SWA 2,YUE 1,YUE 2,scores 1,scores 2,translation 1,translation 2
1433,engage,marry,verbs,يخطب,يتزوّج,订婚,结婚,dyweddïo,priodi,kihluma,abielluma,kihlautua,naida,se fiancer,se marier,להתארס,להתחתן,angażować,poślubić,обручаться,жениться,involucrarse,casar,kuchumbia,kuoa,訂婚,結婚,engage,marry,engage,marry
1434,complain,argue,verbs,يتذمّر,يجادل,抱怨,争论,cwyno,dadlau,kaebama,vaidlema,valittaa,kiistellä,se plaindre,se disputer,להתלונן,לטעון,narzekać,kłócić się,жаловаться,ругаться,quejarse,discutir,kulalamika,kugombana,抱怨,拗撬,complain,argue,complain,argue
1435,come,attend,verbs,يأتي,يحضر,来,出席,dod,mynychu,tulema,osalema,tulla,osallistua,venir,assister,לבוא,להגיע,przyjść,uczęszczać,приходить,посещать,ven,asistir,kuja,kuhudhuria,來,出席,come,attend,come,attend
1436,begin,quit,verbs,يبدأ,يستقيل,开始,戒除,dechrau,gadael,alustama,lõpetama,aloittaa,lopettaa,commencer,cesser,להתחיל,להפסיק,zaczynać,rezygnować,начинать,прекращать,empezar,dejar,kuanza,kuacha,開始,戒除,begin,quit,begin,quit
1437,lose,keep,verbs,يخسر,يحتفظ,失去,保持,colli,cadw,kaotama,hoidma,menettää,pitää,perdre,garder,להפסיד,לשמור,stracić,zachować,терять,сохранять,perder,mantener,kushindwa,kuweka,失去,保持,lose,keep,lose,keep
1438,achieve,accomplish,verbs,يحقّق,ينجز,达到,完成,llwyddo,cyflawni,saavutama,teostama,saavuttaa,menestyä,réussir,accomplir,להשיג,לבצע,osiągnąć,zrealizować,достигать,завершать,lograr,realizar,kutimiza,kufanikisha,達到,完成,achieve,accomplish,achieve,accomplish
1439,cook,fry,verbs,يطبخ,يقلي,煮,炒,coginio,ffrio,küpsetama,praadima,kypsentää,paistaa,cuisiner,frire,לבשל,לטגן,gotować,smażyć,готовить,жарить,cocinar,freír,kukaanga,kupika,煮,炒,cook,fry,cook,fry
1440,owe,lend,verbs,يدين,يقرض,欠,借,bod mewn dyled,benthyg,võlgnema,laenama,olla velkaa,lainata,devoir,prêter,לחוב,להלוות,być dłużnym,pożyczyć,задолжать,одалживать,deber,prestar,kudaiwa,kukopesha,欠,借,owe,lend,owe,lend
1441,reject,avoid,verbs,يرفض,يتجنّب,拒绝,避免,gwrthod,osgoi,tagasi lükkama,vältima,torjua,välttää,rejeter,éviter,לדחות,למנוע,odrzucić,unikać,отвергать,избегать,rechazar,evitar,kukataa,kuepa,拒絕,避免,reject,avoid,reject,avoid
1442,give,borrow,verbs,يعطي,يقترض,给予,借,rhoddi,benthyca,andma,laenama,antaa,lainata,donner,emprunter,לתת,להשאיל,dać,pożyczać,давать,занимать,dar,pedir prestado,kupa,kuazima,給予,借,give,borrow,give,borrow
1443,permit,approve,verbs,يسمح,يوافق,准许,赞成,caniatáu,cymeradwyo,lubama,heaks kiitma,antaa lupa,vahvistaa,permettre,approuver,להרשות,לאשר,pozwalać,aprobować,разрешать,утвердить,permitir,aprobar,kukubali,kuruhusu,准許,贊成,permit,approve,permit,approve
1444,speak,whisper,verbs,يتكلّم,يهمس,说话,低语,siarad,sibrwd,rääkima,sosistama,puhua,kuiskata,parler,chuchoter,לדבר,ללחוש,mówić,szeptać,говорить,шептать,hablar,susurrar,kunong'oneza,kutamka,說話,低語,speak,whisper,speak,whisper
1445,pause,wait,verbs,يتوقّف,ينتظر,暂停,等待,oedi,aros,peatama,ootama,tauota,odottaa,s'arrêter,attendre,להפסיק,להמתין,wstrzymać się,czekać,приостанавливаться,ждать,pausa,esperar,kungoja,kusubiri,暫停,等待,pause,wait,pause,wait
1446,give,put,verbs,يعطي,يضع,给,放,rhoi,gosod,andma,panema,antaa,laittaa,donner,mettre,לתת,להניח,dać,kłaść,давать,вкладывать,dar,poner,kupa,kuweka,給,放,give,put,give,put
1447,investigate,examine,verbs,يحقّق,يستجوب,调查,检查,ymchwilio,archwilio,uurima,kontrollima,tutkia,kuulustella,enquêter,examiner,לחקור,לבחון,zbadać,badać,исследовать,изучать,investigar,examinar,kupeleleza,kuchunguza,調查,檢查,investigate,examine,investigate,examine
1448,take,receive,verbs,يأخذ,يستلم,拿,收到,cymryd,derbyn,võtma,saama,ottaa,vastaanottaa,prendre,recevoir,לקחת,לקבל,brać,otrzymywać,брать,получать,tomar,recibir,kuchukua,kupokea,攞,收到,take,receive,take,receive
1449,seek,search,verbs,يبحث,يفتّش,寻求,搜索,ymofyn,chwilio,taotlema,otsima,hakea,etsiä,chercher,viser,לבקש,לחפש,poszukiwać,szukać,просить,искать,buscar,mirar,kutafuta,kutazamia,尋求,搜索,seek,search,seek,search
1450,practice,repeat,verbs,يمارس,يكرّر,练习,重复,ymarfer,ailadrodd,harjutama,kordama,harjoitella,toistaa,s'entraîner,répéter,להתאמן,לחזור,ćwiczyć,powtarzać,практиковаться,повторять,practicar,repetir,kurudia,kujiandaa,練習,重複,practice,repeat,practice,repeat
1451,protect,defend,verbs,يحمي,يدافع,保护,防御,diogelu,amddiffyn,kaitsma,turvama,suojella,puolustaa,protéger,défendre,לשמור,להגן,chronić,bronić,защищать,отстаивать,proteger,defender,kulinda,kukinga,保護,防御,protect,defend,protect,defend
1452,punish,obey,verbs,يعاقب,يطيع,惩罚,服从,cosbi,ufuddhau,karistama,alluma,rangaista,totella,punir,obéir,להעניש,לציית,karać,przestrzegać,наказывать,подчиниться,castigar,obedecer,kutii,kuadhibu,懲罰,服從,punish,obey,punish,obey
1453,join,acquire,verbs,ينضم,يكتسب,加入,获得,ymuno,caffael,ühinema,omandama,liittyä,hankkia,joindre,acquérir,להצטרף,לרכוש,złączyć,nabyć,объединяться,приобретать,unirse,adquirir,kujiunga,kujipatia,加入,獲得,join,acquire,join,acquire
1454,learn,listen,verbs,يتعلّم,يستمع,学习,听,dysgu,gwrando,õppima,kuulama,oppia,kuunnella,apprendre,écouter,ללמוד,להקשיב,uczyć się,słuchać,узнавать,слушать,aprender,escuchar,kujifunza,kusikiliza,學習,聽,learn,listen,learn,listen
1455,listen,hear,verbs,يستمع,يسمع,听,听见,gwrando,clywed,kuulama,kuulma,kuunnella,kuulla,écouter,entendre,להקשיב,לשמוע,słuchać,słyszeć,слушать,слышать,escuchar,oír,kusikiliza,kusikia,聽,聽見,listen,hear,listen,hear
1456,renounce,repress,verbs,يتنازل,يقمع,声明放弃,压抑,ymwrthod,gormesu,loobuma,suruma,luopua,tukahduttaa,renoncer,réprimer,להתכחש,להדחיק,wyrzekać się,tłumić,отрекаться,подавлять,renunciar,reprimir,kukandamiza,kukataa,宣佈放棄,壓抑,renounce,repress,renounce,repress
1457,gather,collect,verbs,يحشد,يجمع,聚集,收集,ymgynnull,casglu,kogunema,koguma,kokoontua,kerätä,rassembler,réunir,לאגד,לאסוף,gromadzić,zbierać,приобретать,собирать,reunir,recoger,kukusanya,kukusanyika,聚集,收集,gather,collect,gather,collect
1458,grow,increase,verbs,يكبر,يزيد,成长,增加,tyfu,cynyddu,kasvama,suurenema,kasvaa,korottaa,croître,augmenter,לצמוח,להגביר,rosnąć,wzrosnąć,расти,увеличивать,crecer,incrementar,kuongeza,kukua,成長,增加,grow,increase,grow,increase
1459,agree,argue,verbs,يوافق,يجادل,同意,争论,cytuno,dadlau,nõustuma,vaidlema,myöntyä,kiistellä,être d'accord,débattre,להסכים,להתווכח,zgadzać się,kłócić się,соглашаться,спорить,estar de acuerdo,discutir,kukubaliana,kugombana,同意,拗撬,agree,argue,agree,argue
1460,grasp,understand,verbs,يستوعب,يفهم,掌握,理解,gafael,deall,taipama,aru saama,sisäistää,ymmärtää,saisir,comprendre,לקלוט,להבין,pojmować,rozumieć,схватывать,понять,agarrar,entender,kuelewa,kufahamu,掌握,明白,grasp,understand,grasp,understand
1461,argue,justify,verbs,يجادل,يبرّر,争论,辩解,dadlau,cyfiawnhau,vaidlema,õigustama,kiistellä,perustella,débattre,justifier,לטעון,להצדיק,argumentować,uzasadniać,аргументировать,обосновывать,discutir,justificar,kugombana,kutetea,拗撬,辯解,argue,justify,argue,justify
1462,cover,bury,verbs,يغطّي,يدفن,掩盖,埋葬,gorchuddio,claddu,katma,matma,peittää,haudata,couvrir,enterrer,לכסות,לקבור,przykryć,zakopać,покрывать,закапывать,cubrir,enterrar,kuzika,kufunika,冚住,埋葬,cover,bury,cover,bury
1463,leave,go,verbs,يترك,يذهب,离开,走开,gadael,mynd  ,jätma,minema,jättää,mennä,partir,aller,לעזוב,ללכת,odchodzić,iść,покидать,идти,salir,ir,kuondoka,kwenda,離開,走開,leave,go,leave,go
1464,disown,neglect,verbs,ينكر,يهمل,断绝亲子关系,疏忽,difeddiannu,esgeuluso,ära tõukama,tähelepanuta jätma,olla tunnustamatta,laimilyödä,renier,négliger,לנשל,להזניח,wyrzec się,zaniedbać,отрекаться,запускать,desconocer,negar,kupuuzia,kukataliwa,斷絕父子關係,疏忽,disown,neglect,disown,neglect
1465,argue,differ,verbs,يجادل,يختلف,争论,不同,dadlau,gwahaniaethu,vaidlema,erinema,kiistellä,olla erilainen,débattre,différer,לטעון,להתווכח,kłocić się,różnić się,спорить,различаться,discutir,diferir de,kugombana,kutofautiana,拗撬,不同,argue,differ,argue,differ
1466,multiply,divide,verbs,يضاعف,يقسم,乘,除,lluosi,rhannu,korrutama,jagama,kertoa,jakaa,multiplier,diviser,לכפול,לחלק,mnożyć,dzielić,умножать,делить,multiplicar,dividir,kuzidisha,kugawanya,乘,除,multiply,divide,multiply,divide
1467,comprehend,satisfy,verbs,يفهم,يرضي,理解,满足,deall,bodloni,hoomama,rahuldama,käsittää,tyydyttää,saisir,satisfaire,להבין,לספק,rozumieć,satysfakcjonować,понимать,удовлетворять,comprender,satisfacer,kufahamu,kuridhisha,理解,滿足,comprehend,satisfy,comprehend,satisfy
1468,go,send,verbs,يذهب,يرسل,走,发送,mynd  ,danfon,minema,saatma,mennä,lähettää,aller,envoyer,ללכת,לשלוח,iść,wysyłać,идти,посылать,ir,enviar,kwenda,kutuma,走,發送,go,send,go,send
1469,locate,find,verbs,يحدّد,يجد,定位,找到,lleoli,darganfod,asukohta määrama,leidma,paikantaa,löytää,localiser,trouver,לאתר,למצוא,zlokalizować,znaleźć,обнаруживать,находить,localizar,encontrar,kuonyesha mahali pa,kutafuta,定位,搵到,locate,find,locate,find
1470,print,ignore,verbs,يطبع,يتجاهل,打印,忽略,argraffu,anwybyddu,printima,ignoreerima,tulostaa,sivuuttaa,imprimer,ignorer,להדפיס,להתעלם,drukować,ignorować,распечатать,игнорировать,imprimir,ignorar,kupuuza,kuchapisha,打印,無視,print,ignore,print,ignore
1471,strive,foreclose,verbs,يجاهد,يحرم,努力,阻碍,ymdrechu,blaengau,püüdma,välistama,pyrkiä,sulkea,lutter,saisir,לשאוף,לעקל,dążyć,przejąć,стараться,предрешать,esforzarse,ejecutar,kukuifungia,kujitahidi,努力,阻礙,strive,foreclose,strive,foreclose
1472,portray,notify,verbs,يوصف,يبلغ,描绘,通知,portreadu,hysbysu,portreteerima,teavitama,kuvata,ilmoittaa,représenter,notifier,לתאר,להודיע,ukazywać,powiadamiać,изображать,уведомлять,retratar,notificar,kuonyesha,kujulisha,描繪,通知,portray,notify,portray,notify
1473,acquire,get,verbs,يكتسب,يحصل,获得,得到,caffael,cael,omandama,saama,hankkia,saada,acquérir,obtenir,לרכוש,לקבל,nabyć,dostać,приобретать,получать,adquirir,recibir,kujipatia,kupata,獲得,得到,acquire,get,acquire,get
1474,deny,lie,verbs,ينكر,يكذب,否认,说谎,gwrthod,dweud celwydd,eitama,valetama,kiistää,valehdella,nier,mentir,להכחיש,לשקר,zaprzeczać,kłamać,отрицать,лгать,negar,mentir,kudanganya,kukataa,否認,說謊,deny,lie,deny,lie
1475,humiliate,comfort,verbs,يذل,يعون,羞辱,安慰,bychanu,cysuro,alandama,rahustama,nöyryyttää,lohduttaa,humilier,conforter,להשפיל,לנחם,poniżać,pocieszać,унижать,утешать,humillar,comodidad,kufaraja,kuaibisha,羞辱,安慰,humiliate,comfort,humiliate,comfort
1476,beg,ask,verbs,يتكفّف,يطلب,乞求,问,erfyn,gofyn,paluma,küsima,anoa,kysyä,mendier,demander,להתחנן,לבקש,błagać,pytać,умолять,просить,mendigar,pedir,kuomba,kuuliza,乞求,問,beg,ask,beg,ask
1477,kill,destroy,verbs,يقتل,يهدم,杀,毁灭,lladd,dinistrio,tapma,hävitama,tappaa,tuhota,tuer,détruire,להרוג,להרוס,zabić,niszczyć,убивать,уничтожать,matar,destruir,kuua,kuharibu,殺,毀滅,kill,destroy,kill,destroy
1478,split,detach,verbs,ينقسم,يفصل,裂开,分离,rhannu,datgysylltu,poolitama,eraldama,halkaista,irrottaa,diviser,détacher,לפצל,לנתק,rozdzielić,odłączyć,раскалывать,отрывать,dividir,despegar,kutenganisha,kugawanya,裂開,分離,split,detach,split,detach
1479,prohibit,stop,verbs,يمنع,يوقف,禁止,停止,gwahardd,stopio,keelama,peatuma,kieltää,pysähtyä,interdire,arrêter,לאסור,לעצור,zabraniać,zatrzymywać,запрещать,останавливать,prohibir,detener,kusimamisha,kukataza,禁止,停止,prohibit,stop,prohibit,stop
1480,blame,push,verbs,يلوم,يضغط,责怪,推,beio,gwthio,süüdistama,lükkama,syyttää,työntää,critiquer,pousser,להאשים,לדחוף,winić,pchać,обвинять,толкать,culpar,empujar,kusukuma,kulaumu,責怪,推,blame,push,blame,push
1481,smell,spoil,verbs,يشم,يفسد,闻,溺爱,arogli,difetha,haistma,rikkuma,haistaa,pilata,sentir,gâcher,להריח,לקלקל,śmierdzieć,psuć,нюхать,портить,oler,mimar,kuharibu,kunusa,聞,溺愛,smell,spoil,smell,spoil
1482,deceive,cheat,verbs,يخدع,يغش,欺骗,作弊,twyllo,cafflo,tüssama,petma,pettää,huijata,tromper,tricher,להונות,לרמות,zwieść,oszukać,обманывать,мошенничать,engañar,hacer trampas,kudanganya,kufunga,欺騙,作弊,deceive,cheat,deceive,cheat
1483,arrest,suspect,verbs,يعتقل,يشتبه,逮捕,怀疑,arestio,amau,arreteerima,kahtlustama,pidättää,epäillä,arrêter,suspecter,לעצור,לחשוד,aresztować,podejrzewać,арестовывать,подозревать,arrestar,sospechar,kushukia,kukamatwa,逮捕,懷疑,arrest,suspect,arrest,suspect
1484,absorb,possess,verbs,يمتص,يتملّك,吸收,拥有,amsugno,meddu ar,imenduma,omama,imeä itseensä,omistaa,absorber,posséder,לספוג,להחזיק,absorbować,posiąść,поглощать,иметь,absorber,poseer,kufyonza,kumiliki,吸收,擁有,absorb,possess,absorb,possess
1485,accept,reject,verbs,يقبل,يرفض,接受,拒绝,derbyn,gwrthod,vastu võtma,tagasi lükkama,hyväksyä,torjua,accepter,rejeter,לקבל,לדחות,akceptować,odrzucić,принимать,отвергать,aceptar,rechazar,kukubali,kukataa,接受,拒絕,accept,reject,accept,reject
1486,weave,move,verbs,ينسج,يتحرّك,编织,移动,gwehyddu,symud,lõimima,liikuma,pujotella,liikkua,tisser,bouger,להתפתל,לנוע,tkać,ruszać,ткать,двигаться,tejer,movimiento,kutoka,kufuma,編織,移動,weave,move,weave,move
1487,bother,aggravate,verbs,يزعج,يغضب,打扰,加剧,trafferthu,gwaethygu,tüütama,raskendama,vaivata,pahentaa,déranger,aggraver,להטריח,להחמיר,naprzykrzać się,drażnić,беспокоить,обострять,molestar,agravar,kukuza,kusumbua,打稿,加劇,bother,aggravate,bother,aggravate
1488,do,quit,verbs,يفعل,يتنازل,做,戒除,gwneud,gadael,tegema,lõpetama,tehdä,lopettaa,faire,cesser,לעשות,להפסיק,robić,rezygnować,делать,прекращать,hacer,dejar,kufanya,kuacha,做,戒除,do,quit,do,quit
1489,agree,accept,verbs,يوافق,يقبل,同意,接受,cytuno,derbyn,nõustuma,aktsepteerima,myöntyä,hyväksyä,être d'accord,accepter,להסכים,לקבל,zgądzać się,akceptować,соглашаться,принимать,estar de acuerdo,aceptar,kuitikia,kukubali,同意,接受,agree,accept,agree,accept
1490,know,comprehend,verbs,يعرف,يفهم,知道,理解,gwybod,deall,teadma,hoomama,tietää,käsittää,savoir,inclure,לדעת,להבין,wiedzieć,rozumieć,знать,понимать,saber,comprender,kujua,kufahamu,知道,理解,know,comprehend,know,comprehend
1491,take,possess,verbs,يأخذ,يتملّك,拿,拥有,cymryd,meddu ar,võtma,omama,ottaa,omistaa,prendre,posséder,לקחת,להחזיק,brać,posiąść,брать,завладевать,tomar,poseer,kuchukua,kumiliki,攞,擁有,take,possess,take,possess
1492,adore,admire,verbs,يعشق,يعجب,崇拜,敬佩,addoli,edmygu,jumaldama,imetlema,jumaloida,ihailla,adorer,admirer,להעריץ,להתפעל,uwielbiać,podziwiać,обожать,восхищаться,adorar,admirar,kuhusudu,kuabudu,崇拜,敬佩,adore,admire,adore,admire
1493,agree,please,verbs,يوافق,يرضي,同意,使满意,cytuno,plesio,nõustuma,heameelt tegema,myöntyä,miellyttää,être d'accord,satisfaire,להסכים,לרצות,zgadzać się,zadowalać,ладить,угождать,estar de acuerdo,complacer,kukubali,kujipendekeza,同意,使滿意,agree,please,agree,please
1494,make,construct,verbs,يصنع,يبني,做,建造,gwneuthurio,llunio,tegema,koostama,valmistaa,muodostaa,faire,construire,לעשות,לבנות,robić,konstruować,делать,строить,hacer,construir,kutengeneza,kujenga,做,建造,make,construct,make,construct
1495,elect,reject,verbs,ينتخب,يرفض,选举,拒绝,etholi,gwrthod,valima,tagasi lükkama,valita,torjua,élire,rejeter,לבחור,לדחות,obierać,odrzucić,избирать,отклонять,elegir,rechazar,kukataa,kuteua,選舉,拒絕,elect,reject,elect,reject
1496,smash,shatter,verbs,يحطّم,يتحطّم,摔碎,打碎,torri,chwalu,purustama,purunema,murskata,särkeä,fracasser,briser,לרסק,לנתץ,rozwalić,roztrzaskać,громить,раздробить,aplastar,romper,kuvunja,kuharibu,摔碎,打碎,smash,shatter,smash,shatter
1497,make,become,verbs,يجعل,يصبح,做,成为,creu,dod yn,tegema,saama,valmistaa,tulla,faire,devenir,לעשות,להפוך,robić,stać się,делать,становиться,hacer,volverse,kutengeneza,kuwa,做,成為,make,become,make,become
1498,destroy,construct,verbs,يهدم,يبني,毁灭,建造,dinistrio,adeiladu,hävitama,koostama,tuhota,muodostaa,détruire,construire,להרוס,לבנות,niszczyć,konstruować,разрушать,строить,destruir,construir,kuharibu,kujenga,毀滅,建造,destroy,construct,destroy,construct
1499,destroy,save,verbs,يدمّر,ينجي,毁灭,保留,dinistrio,arbed,hävitama,päästma,tuhota,säästää,détruire,sauver,להרוס,להציל,niszczyć,ratować,уничтожить,спасти,destruir,salvar,kuokoa,kuharibu,毀滅,保留,destroy,save,destroy,save
1500,let,allow,verbs,يسمح,يمنح,让,允许,gadael,caniatáu,laskma,lubama,päästää,sallia,laisser,permettre,לאפשר,להרשות,pozwalać,zezwalać,позволять,разрешать,dejar,permitir,kuruhusu,kuacha,讓,允許,let,allow,let,allow
1501,rinse,wash,verbs,يشطف,يغسل,冲洗,洗,rinsio,golchi,loputama,pesema,huuhdella,pestä,rincer,laver,לשטוף,לרחוץ,płukać,myć,полоскать,мыть,enjuagar,lavar,kuosha,kusuuza,沖洗,洗,rinse,wash,rinse,wash
1502,give,know,verbs,يعطي,يعرف,给,知道,rhoi,gwybod,andma,teadma,antaa,tietää,donner,savoir,לתת,לדעת,dać,wiedzieć,давать,знать,dar,saber,kupa,kujua,給,知道,give,know,give,know
1503,retire,withdraw,verbs,يتقاعد,ينسحب,退休,退出,ymddeol,tynnu'n ôl,pensionile jääma,tagasi võtma,jäädä eläkkeelle,vetäytyä,prendre sa retraite,rétracter,לפרוש,לסגת,przejść na emeryturę,wycofać się,удаляться,уходить,retirarse,retirar,kutoa,kustaafu,退休,退出,retire,withdraw,retire,withdraw
1504,deal,sell,verbs,يتفّق,يبيع,交易,卖,bargeinio,gwerthu,äri tegema,müüma,käydä kauppaa,myydä,traiter,vendre,לסחור,למכור,handlować,sprzedawać,торговать,продавать,estar de acuerdo,vender,kuuza,kuhusika,交易,賣,deal,sell,deal,sell
1505,forget,learn,verbs,ينسى,يتعلّم,忘记,学习,anghofio,dysgu,unustama,õppima,unohtaa,oppia,oublier,apprendre,לשכוח,ללמוד,zapominać,uczyć się,забывать,узнавать,olvidar,aprender,kusahau,kujifunza,忘記,學習,forget,learn,forget,learn
1506,advise,recommend,verbs,ينصح,يوصي,建议,推荐,cynghori,argymell,nõu andma,soovitama,neuvoa,suositella,conseiller,recommander,לייעץ,להמליץ,radzić,polecić,советовать,рекомендовать,asesorar,recomendar,kushauri,kupendekeza,建議,推介,advise,recommend,advise,recommend
1507,limp,walk,verbs,يعرج,يسير,跛行,步行,hercio,cerdded,lonkama,kõndima,ontua,kävellä,boiter,marcher,לצלוע,ללכת,utykać,chodzić,хромать,ходить,cojear,caminar,kutembea,kuchechemea,跛行,步行,limp,walk,limp,walk
1508,hate,despise,verbs,يكره,يحتقر,讨厌,蔑视,casáu,dirmygu,vihkama,põlgama,vihata,halveksia,haïr,mépriser,לשנוא,לתעב,nienawidzić,gardzić,ненавидеть,презирать,odiar,despreciar,kuchukia,kudharau,討厭,蔑視,hate,despise,hate,despise
1509,think,decide,verbs,يفكّر,يقرّر,想,决定,meddwl,penderfynu,mõtlema,otsustama,ajatella,päättää,penser,décider,לחשוב,להחליט,myśleć,decydować,думать,решать,pensar,decidir,kufikiria,kuamua,想,決定,think,decide,think,decide
1510,reduce,shrink,verbs,يخفض,يتقلّص,减少,收缩,lleihau,crebachu,vähendama,kahanema,supistaa,kutistua,réduire,rétrécir,להקטין,לכווץ,redukować,kurczyć się,уменьшаться,сжиматься,reducir,encoger,kupunguza,kupungua,減少,收縮,reduce,shrink,reduce,shrink
1511,climb,hike,verbs,يتسلّق,ينتزّه,爬,远足,dringo,heicio,ronima,matkama,kiivetä,patikoida,grimper,randonner,לטפס,לטייל,wspinać się,wędrować,лазить,путешествовать,escalar,hacer senderismo,kutembea umbali mrefu,kupanda,爬,遠足,climb,hike,climb,hike
1512,sip,gulp,verbs,يرشف,يبلع,啜,大口地吃,llymeitio,llyncu,rüüpama,neelatama,siemailla,nieleksiä,siroter,engloutir,לגמוע,לבלוע,sączyć,przełykać,хлебать,глотать,sorber,tragar,kufunda,kuonja,啜,大口地吃,sip,gulp,sip,gulp
1513,acquire,obtain,verbs,يكتسب,يحصل,获得,取得,dod i feddiant,cael,omandama,hankima,hankkia,päästä,acquérir,obtenir,לרכוש,להשיג,nabyć,uzyskać,приобретать,получать,adquirir,obtener,kujipatia,kurithi,獲得,取得,acquire,obtain,acquire,obtain
1514,fall,hurt,verbs,يفشل,يجرح,坠落,伤害,cwympo,brifo ,kukkuma,haiget tegema,kaatua,sattua,tomber,blesser,ליפול,להיפצע,upaść,boleć,падать,ушибить,caer,herir,kuumia,kuanguka,跌,傷害,fall,hurt,fall,hurt
1515,pinch,punch,verbs,يقرص,يلكم,捏,用拳猛击,pinsio,bwrw,näpistama,lööma,nipistää,lävistää,pincer,frapper,לצבוט,לחבוט,uszczypnąć,walnąć,ущипнуть,бить,pellizcar,dar un puñetazo,kukupiga ngumi,kufinya,捏,用拳猛擊,pinch,punch,pinch,punch
1516,ask,pray,verbs,يطلب,يصلّي,问,祈祷,gofyn,gweddïo,küsima,palvetama,kysyä,rukoilla,demander,prier,לבקש,להתפלל,pytać,modlić się,просить,молиться,pedir,rezar,kuuliza,kusali,問,祈禱,ask,pray,ask,pray
1517,give,allow,verbs,يعطي,يسمح,给,允许,rhoi,caniatáu,andma,lubama,antaa,sallia,donner,permettre,לתת,להרשות,dać,zezwalać,давать,разрешать,dar,permitir,kupa,kuruhusu,給,允許,give,allow,give,allow
1518,ignore,avoid,verbs,يتجاهل,يتجنّب,忽略,避免,anwybyddu,osgoi,ignoreerima,vältima,sivuuttaa,välttää,ignorer,éviter,להתעלם,להימנע,ignorować,unikać,игнорировать,избегать,ignorar,evitar,kupuuza,kuepa,唔睬,避免,ignore,avoid,ignore,avoid
1519,leave,meet,verbs,يترك,يجتمع,离开,遇见,gadael,cyfarfod,jätma,kohtuma,jättää,tavata,laisser,rencontrer,לעזוב,לפגוש,odchodzić,spotykać,покидать,встретить,salir,reunirse,kupatana,kuondoka,離開,見面,leave,meet,leave,meet
1520,assume,predict,verbs,يفترض,يتنبأ,假设,预测,cymryd yn ganiataol,darogan,oletama,ennustama,edellyttää,ennustaa,supposer,prédire,להניח,לחזות,zakładać,przewidywać,предполагать,предсказывать,asumir,predecir,kudhani,kutabiri,假設,預測,assume,predict,assume,predict
1521,reap,gain,verbs,يكسب,يربح,收割,获得,medi,ennill,lõikama,saavutama,niittää,hyötyä,récolter,gagner,לקצור,להרוויח,zbierać,zyskać,пожинать,получать,recoger,ganancia,kufaida,kuvuna,收割,獲得,reap,gain,reap,gain
1522,desire,want,verbs,يرغب,يريد,欲望,想要,dymuno,eisiau,ihaldama,soovima,himoita,haluta,désirer,vouloir,לחשוק,לרצות,pragnąć,chcieć,желать,хотеть,desear,querer,kutaka,kua na hamu,慾望,想要,desire,want,desire,want
1523,offend,bother,verbs,يهين,يزعج,得罪,打扰,troseddu,trafferthu,solvama,tüütama,loukata,vaivata,offenser,déranger,לפגוע,להטריד,urazić,naprzykrzać się,обижать,беспокоить,ofender,molestia,kusumbua,kukosea,得罪,打稿,offend,bother,offend,bother
1524,contemplate,think,verbs,يتفكّر,يفكّر,沉思,想,myfyrio,meddwl,mõtisklema,mõtlema,miettiä,ajatella,contempler,penser,להרהר,לחשוב,kontemplować,myśleć,размышлять,думать,contemplar,pensar,kutafakari,kuwaza,沉思,想,contemplate,think,contemplate,think
1525,accept,recommend,verbs,يقبل,يوصي,接受,推荐,derbyn,argymell,vastu võtma,soovitama,hyväksyä,suositella,accepter,recommander,לקבל,להמליץ,akceptować,polecać,принимать,рекомендовать,aceptar,recomendar,kukubali,kupendekeza,接受,推介,accept,recommend,accept,recommend
1526,pay,buy,verbs,يدفع,يشتري,付款,购买,talu,prynu,maksma,ostma,maksaa,ostaa,payer,acheter,לשלם,לקנות,płacić,kupować,платить,купить,paga,comprar,kununua,kulipa,付款,購買,pay,buy,pay,buy
1527,blend,combine,verbs,يمزج,يدمج,混合,联合,cymysgu,cyfuno,segunema,kombineerima,sulautua,yhdistää,mélanger,combiner,לשלב,לצרף,miksować,łączyć,смешивать,комбинировать,mezcla,combinar,kujumuisha,kuchanganya,混合,聯合,blend,combine,blend,combine
1528,send,receive,verbs,يرسل,يستقبل,发送,收到,danfon,derbyn,saatma,saama,lähettää,vastaanottaa,envoyer,recevoir,לשלוח,לקבל,wysyłać,otrzymywać,посылать,получать,enviar,recibir,kutuma,kupokea,發送,接收,send,receive,send,receive
1529,create,imagine,verbs,يخلق,يتخيّل,创建,想像,creu,dychmygu,looma,ette kujutama,luoda,kuvitella,créer,imaginer,ליצור,לדמיין,tworzyć,wyobrażać sobie,создавать,представлять,crear,imaginar,kuumba,kuwazia,創建,想像,create,imagine,create,imagine
1530,achieve,succeed,verbs,يحقّق,ينجح,实现,成功,cyflawni,llwyddo,saavutama,edu saavutama,saavuttaa,onnistua,atteindre,réussir,להשיג,להצליח,osiągnąć,powieść się,достигать,преуспевать,lograr,tener éxito,kutimiza,kufanikiwa,實現,成功,achieve,succeed,achieve,succeed
